EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_296,c_8,c_6,c_3,c_5,0.7461,0.77316395,model_978
episode_297,c_3,c_11,c_10,c_3,0.7224,0.8185229527,model_469
episode_298,c_7,c_4,c_6,m_3,0.6926,0.9162213668,model_1301
episode_299,c_8,c_11,c_12,c_8,0.7666,0.7129476029,model_1872
episode_300,c_7,m_3,c_3,m_1,0.714,0.8305894013,model_1956
episode_301,m_2,c_9,m_2,c_7,0.7179,0.8526341682,model_2043
episode_302,c_8,c_6,m_2,c_3,0.7504,0.7895045175,model_1819
episode_303,c_10,c_10,m_3,c_7,0.7597,0.7023822917,model_919
episode_304,c_5,c_3,m_1,c_9,0.7389,0.7677965093,model_1473
episode_305,c_6,m_3,c_3,c_8,0.7471,0.773602103,model_1962
episode_306,c_2,c_7,m_2,c_8,0.7222,0.8051841713,model_1938
episode_307,c_4,c_11,m_2,m_1,0.7354,0.7732309641,model_1697
episode_308,c_2,c_11,c_7,c_12,0.7226,0.8360046186,model_1800
episode_309,c_5,c_10,c_6,s,0.717,0.8283129026,model_596
episode_310,c_7,m_3,c_5,c_3,0.7167,0.817483981,model_1380
episode_311,c_4,c_7,c_9,c_4,0.7097,0.8694775596,model_1635
episode_312,c_9,c_2,c_3,m_3,0.7154,0.8192665898,model_1207
episode_313,c_3,m_1,c_4,m_1,0.6682,0.9526095943,model_1277
episode_314,c_8,m_1,c_2,c_2,0.7277,0.8085538344,model_269
episode_315,c_6,c_12,c_7,c_12,0.7165,0.8765576422,model_1366
episode_316,c_8,c_4,c_2,c_5,0.7107,0.8399426954,model_1885
episode_317,c_6,c_11,c_4,c_9,0.7161,0.8539475494,model_1026
episode_318,c_1,c_4,c_11,m_1,0.7135,0.8356865856,model_803
episode_319,c_1,c_10,c_5,c_7,0.7124,0.8525966891,model_749
episode_320,c_7,m_2,c_4,c_9,0.7504,0.7934897252,model_1784
episode_321,c_1,s,-,-,0.6824,0.9222057566,model_275
episode_321,c_1,s,-,-,0.6812,0.9313422739,model_1330
episode_321,c_1,s,-,-,0.6678,0.9662022907,model_1639
episode_322,c_10,m_2,c_11,c_11,0.76,0.7138206359,model_1033
episode_323,c_7,c_3,c_6,c_1,0.7183,0.8288707768,model_1713
episode_324,c_2,c_5,c_2,c_2,0.7248,0.8193752006,model_1682
episode_325,c_9,c_6,c_6,m_3,0.7418,0.8022163939,model_864
episode_326,m_2,c_7,c_5,c_11,0.7202,0.8810535474,model_1423
episode_327,c_1,c_3,c_9,c_8,0.7303,0.7890602434,model_1924
episode_328,c_3,c_11,c_6,m_2,0.7095,0.8423264822,model_1555
episode_329,c_5,c_12,c_12,c_12,0.7309,0.8424393962,model_1497
episode_330,c_10,c_6,c_9,c_10,0.756,0.7291960112,model_748
episode_331,c_7,c_6,c_3,c_10,0.7539,0.7333140047,model_434
episode_332,c_9,c_12,m_3,c_6,0.7762,0.6634890669,model_1730
episode_333,c_4,c_8,c_4,c_1,0.7176,0.8252080023,model_432
episode_334,c_9,c_4,c_9,c_12,0.7475,0.7696301625,model_613
episode_335,c_11,c_6,c_12,c_2,0.7314,0.8036078853,model_481
episode_336,c_12,m_1,s,-,0.703,0.8900160341,model_1235
episode_336,c_12,m_1,s,-,0.7304,0.8135914484,model_1905
episode_337,c_2,m_1,c_1,c_11,0.7533,0.7513059779,model_1342
episode_337,c_2,m_1,c_1,c_11,0.7222,0.8323528993,model_1837
episode_338,c_9,m_1,m_3,m_3,0.6379,1.0747249052,model_199
episode_339,c_9,c_5,c_7,m_2,0.7108,0.8322971715,model_1051
episode_340,c_9,c_11,c_12,c_9,0.7462,0.8377771833,model_1211
episode_341,c_10,c_5,c_5,c_4,0.718,0.8690554668,model_625
episode_342,m_3,c_12,c_1,c_5,0.6786,0.9605158808,model_1802
episode_343,c_10,c_12,c_3,s,0.7365,0.7831371754,model_583
episode_344,c_1,c_1,c_8,c_7,0.7287,0.8156379168,model_1619
episode_345,c_10,c_6,c_10,c_9,0.729,0.801501258,model_2064
episode_346,c_3,c_6,m_1,c_2,0.7298,0.8212579532,model_1732
